Wall time,Step,Value
1524115773.513306,116001,0.4931640625
1524115864.482863,116201,0.5078125
1524115910.217841,116301,0.48974609375
1524115955.729045,116401,0.470703125
1524116001.261516,116501,0.486328125
1524116047.188175,116601,0.48828125
1524116095.124296,116701,0.4873046875
1524116140.71342,116801,0.5009765625
1524116186.363742,116901,0.50830078125
1524116232.25312,117001,0.47607421875
1524116278.147989,117101,0.5087890625
1524116323.941565,117201,0.4951171875
1524116371.718616,117301,0.4921875
1524116462.89356,117501,0.494140625
1524116508.446919,117601,0.49462890625
1524116554.10326,117701,0.46826171875
1524116739.965743,118101,0.494140625
1524116830.722564,118301,0.501953125
1524116876.787647,118401,0.49169921875
1524116922.250038,118501,0.5068359375
1524116970.341109,118601,0.482421875
1524117016.135953,118701,0.46240234375
1524117061.82898,118801,0.4951171875
1524117153.180745,119001,0.4814453125
1524117244.280562,119201,0.4931640625
1524117292.340551,119301,0.49365234375
1524117337.665219,119401,0.51611328125
1524117383.156404,119501,0.47412109375
1524117428.918085,119601,0.49072265625
1524117519.983315,119801,0.478515625
1524117614.177398,120001,0.5
1524117659.771631,120101,0.4931640625
1524117705.359048,120201,0.4853515625
1524117750.948522,120301,0.4970703125
1524117796.517306,120401,0.5107421875
1524117842.344398,120501,0.50146484375
1524117936.35616,120701,0.48583984375
1524117982.278654,120801,0.5
1524118027.740635,120901,0.478515625
1524118073.188484,121001,0.48974609375
1524118166.689831,121201,0.48681640625
1524118212.302565,121301,0.49072265625
1524118303.807036,121501,0.49755859375
1524118349.391327,121601,0.466796875
1524118395.288698,121701,0.47802734375
1524118533.864641,122001,0.47802734375
1524118579.50042,122101,0.5068359375
1524118625.128615,122201,0.47705078125
1524118670.916295,122301,0.4931640625
1524118716.552593,122401,0.50390625
1524118810.166423,122601,0.498046875
1524118855.792567,122701,0.4892578125
1524118947.293583,122901,0.4814453125
1524119038.430451,123101,0.48291015625
1524119132.342849,123301,0.5
